order_id,order_date,customer_segment,region,category,sub_category,sales_amount,profit,quantity,discount
ORD-1000,2023-01-01,Corporate,West,Furniture,Bookcases,109.86,12.26,3,0.05
ORD-1001,2023-01-02,Consumer,West,Technology,Accessories,223.89,-0.0,5,0.05
ORD-1002,2023-01-03,Home Office,Central,Furniture,Bookcases,124.0,-9.95,9,0.1
ORD-1003,2023-01-05,Consumer,West,Furniture,Chairs,115.64,19.7,3,0.15
ORD-1004,2023-01-06,Home Office,South,Technology,Phones,102.56,4.57,7,0.15
ORD-1005,2023-01-08,Home Office,East,Technology,Accessories,138.76,7.66,1,0.1
ORD-1006,2023-01-09,Consumer,South,Furniture,Tables,243.13,15.21,4,0.0
ORD-1007,2023-01-11,Corporate,East,Office Supplies,Paper,355.77,28.29,4,0.1
ORD-1008,2023-01-12,Home Office,East,Furniture,Bookcases,118.32,8.01,7,0.2
ORD-1009,2023-01-14,Consumer,South,Furniture,Chairs,212.9,22.83,8,0.15
ORD-1010,2023-01-15,Consumer,South,Furniture,Chairs,160.81,18.4,1,0.05
ORD-1011,2023-01-17,Corporate,South,Furniture,Tables,493.94,68.58,5,0.2
ORD-1012,2023-01-18,Home Office,South,Technology,Accessories,4850.0,719.33,7,0.15
ORD-1013,2023-01-20,Home Office,Central,Furniture,Bookcases,83.9,3.84,4,0.1
ORD-1014,2023-01-21,Consumer,West,Office Supplies,Binders,216.97,40.68,4,0.2
ORD-1015,2023-01-22,Consumer,East,Technology,Laptops,230.41,26.44,4,0.15
ORD-1016,2023-01-24,Corporate,South,Office Supplies,Storage,158.91,31.36,6,0.0
ORD-1017,2023-01-25,Corporate,South,Office Supplies,Storage,141.56,1.56,7,0.0
ORD-1018,2023-01-27,Home Office,South,Office Supplies,Binders,122.36,23.25,2,0.05
ORD-1019,2023-01-28,Home Office,Central,Office Supplies,Paper,149.74,1.21,5,0.15
ORD-1020,2023-01-30,Consumer,South,Technology,Phones,315.86,86.86,4,0.0
ORD-1021,2023-01-31,Home Office,South,Technology,Laptops,268.48,60.91,3,0.1
ORD-1022,2023-02-02,Corporate,South,Office Supplies,Paper,202.43,46.3,7,0.15
