subscription_id,signup_date,plan_tier,billing_cycle,country,mrr_usd,active_seats,support_tickets_raised,churn_risk_score
SUB-5000,2023-03-01,Growth,Monthly,United States,262.11,4,0,56.8
SUB-5001,2023-03-02,Enterprise,Monthly,Canada,1198.15,24,3,52.4
SUB-5002,2023-03-04,Starter,Monthly,United States,99.07,5,0,24.9
SUB-5003,2023-03-06,Growth,Monthly,France,239.39,4,3,35.8
SUB-5004,2023-03-08,Starter,Monthly,United States,132.31,6,2,14.1
SUB-5005,2023-03-10,Enterprise,Monthly,France,1262.92,28,3,25.6
SUB-5006,2023-03-11,Growth,Annual,France,223.25,1,2,52.4
SUB-5007,2023-03-13,Growth,Monthly,France,251.32,4,2,48.2
SUB-5008,2023-03-15,Growth,Monthly,Canada,249.47,5,3,26.4
SUB-5009,2023-03-17,Starter,Monthly,United States,98.94,4,2,22.4
SUB-5010,2023-03-19,Starter,Annual,United States,102.12,3,3,27.6
SUB-5011,2023-03-21,Growth,Monthly,Canada,242.68,3,2,32.1
SUB-5012,2023-03-22,Starter,Monthly,United Kingdom,109.43,5,0,55.7
SUB-5013,2023-03-24,Starter,Monthly,Germany,67.79,1,1,16.2
SUB-5014,2023-03-26,Starter,Monthly,United States,48.81,1,3,15.5
SUB-5015,2023-03-28,Growth,Monthly,Germany,267.04,6,2,21.0
SUB-5016,2023-03-30,Starter,Monthly,Japan,113.16,6,3,10.7
SUB-5017,2023-04-01,Starter,Annual,Japan,78.7,2,1,36.4
SUB-5018,2023-04-02,Growth,Monthly,Canada,268.64,5,2,7.0
SUB-5019,2023-04-04,Growth,Annual,Japan,247.46,4,0,57.5
SUB-5020,2023-04-06,Starter,Annual,Japan,127.77,7,1,28.2
SUB-5021,2023-04-08,Starter,Monthly,United Kingdom,111.3,5,1,37.9
SUB-5022,2023-04-10,Starter,Annual,United Kingdom,69.13,2,0,5.0
SUB-5023,2023-04-12,Starter,Monthly,United Kingdom,116.04,6,4,39.1
SUB-5024,2023-04-13,Starter,Monthly,Japan,114.89,5,6,32.6
SUB-5025,2023-04-15,Growth,Monthly,Canada,7800.0,5,4,34.5
SUB-5026,2023-04-17,Growth,Monthly,France,258.34,6,3,23.7
SUB-5027,2023-04-19,Growth,Monthly,France,210.56,2,1,42.4
SUB-5028,2023-04-21,Starter,Monthly,Germany,107.97,6,4,12.9
SUB-5029,2023-04-23,Growth,Monthly,France,213.98,1,2,33.0
SUB-5030,2023-04-24,Starter,Monthly,France,100.5,4,3,6.7
SUB-5031,2023-04-26,Enterprise,Monthly,United Kingdom,1225.01,26,2,10.6
SUB-5032,2023-04-28,Growth,Monthly,United Kingdom,229.88,2,0,53.6
SUB-5033,2023-04-30,Starter,Monthly,Japan,98.42,3,2,16.0
SUB-5034,2023-05-02,Growth,Monthly,Germany,205.58,1,2,12.3
SUB-5035,2023-05-04,Starter,Annual,United States,90.56,3,3,31.0
SUB-5036,2023-05-05,Growth,Monthly,Germany,270.7,7,1,50.1
SUB-5037,2023-05-07,Starter,Annual,Germany,137.79,6,0,19.3
SUB-5038,2023-05-09,Starter,Monthly,Canada,49.05,1,1,68.0
SUB-5039,2023-05-11,Enterprise,Monthly,Japan,1441.9,44,3,16.6
SUB-5040,2023-05-13,Starter,Monthly,Canada,118.02,6,1,44.5
SUB-5041,2023-05-14,Growth,Monthly,Germany,233.74,4,1,28.7
SUB-5042,2023-05-16,Starter,Monthly,Germany,111.83,5,2,20.5
SUB-5043,2023-05-18,Growth,Annual,Germany,238.64,3,5,35.7
SUB-5044,2023-05-20,Growth,Monthly,France,209.61,1,4,8.7
SUB-5045,2023-05-22,Growth,Annual,Canada,233.6,4,2,23.8
SUB-5046,2023-05-24,Starter,Annual,Germany,93.83,2,2,21.3
SUB-5047,2023-05-25,Starter,Annual,United Kingdom,104.49,4,5,33.8
SUB-5048,2023-05-27,Starter,Annual,Japan,100.34,2,1,29.1
SUB-5049,2023-05-29,Starter,Monthly,Japan,115.95,6,2,34.8
SUB-5050,2023-05-31,Growth,Monthly,United Kingdom,221.08,1,1,42.2
SUB-5051,2023-06-02,Enterprise,Monthly,Japan,1419.29,41,3,24.2
SUB-5052,2023-06-04,Enterprise,Monthly,France,1171.09,22,0,30.2
SUB-5053,2023-06-05,Growth,Monthly,France,263.11,4,0,56.9
SUB-5054,2023-06-07,Growth,Annual,United States,282.45,7,2,29.4
SUB-5055,2023-06-09,Growth,Monthly,United States,207.89,1,1,23.7
SUB-5056,2023-06-11,Starter,Monthly,United States,64.29,4,1,43.5
SUB-5057,2023-06-13,Enterprise,Monthly,Japan,1240.59,27,2,24.8
SUB-5058,2023-06-15,Growth,Monthly,France,235.74,4,1,59.2
SUB-5059,2023-06-16,Growth,Monthly,France,230.99,3,2,49.4
SUB-5060,2023-06-18,Starter,Annual,France,113.74,6,2,19.3
SUB-5061,2023-06-20,Starter,Monthly,United Kingdom,107.84,5,3,21.6
SUB-5062,2023-06-22,Starter,Monthly,France,78.44,2,3,45.5
SUB-5063,2023-06-24,Enterprise,Monthly,United Kingdom,1099.11,16,1,43.2
SUB-5064,2023-06-26,Growth,Monthly,United States,293.6,7,1,47.3
SUB-5065,2023-06-27,Starter,Monthly,United States,136.66,6,1,25.4
SUB-5066,2023-06-29,Enterprise,Monthly,Japan,1457.81,45,2,28.6
SUB-5067,2023-07-01,Starter,Monthly,United States,69.21,2,2,23.2
SUB-5068,2023-07-03,Starter,Monthly,Japan,121.08,5,1,23.3
SUB-5069,2023-07-05,Starter,Monthly,Germany,134.37,6,1,17.0
SUB-5070,2023-07-07,Growth,Monthly,Germany,293.91,7,3,49.2
SUB-5071,2023-07-08,Enterprise,Monthly,Canada,1389.48,40,1,33.2
SUB-5072,2023-07-10,Starter,Monthly,Japan,65.73,1,5,34.3
SUB-5073,2023-07-12,Enterprise,Monthly,Canada,1175.09,22,2,47.3
SUB-5074,2023-07-14,Starter,Annual,Canada,147.03,7,3,5.8
SUB-5075,2023-07-16,Enterprise,Monthly,Germany,1168.27,22,0,33.4
SUB-5076,2023-07-18,Growth,Monthly,Japan,269.83,7,3,50.6
SUB-5077,2023-07-19,Growth,Monthly,Germany,255.9,4,0,10.9
SUB-5078,2023-07-21,Starter,Monthly,Canada,35.92,1,4,47.6
SUB-5079,2023-07-23,Enterprise,Monthly,Japan,1541.68,52,1,33.5
SUB-5080,2023-07-25,Growth,Monthly,Canada,238.77,4,2,31.1
SUB-5081,2023-07-27,Starter,Annual,France,76.2,3,3,31.6
SUB-5082,2023-07-28,Growth,Monthly,Japan,254.01,5,1,13.4
SUB-5083,2023-07-30,Starter,Monthly,Japan,111.17,4,0,5.0
SUB-5084,2023-08-01,Enterprise,Monthly,Canada,1394.71,39,2,44.0
SUB-5085,2023-08-03,Starter,Monthly,France,133.98,7,2,12.0
SUB-5086,2023-08-05,Growth,Monthly,United Kingdom,260.34,4,2,20.0
SUB-5087,2023-08-07,Growth,Monthly,Germany,275.88,7,0,70.1
SUB-5088,2023-08-08,Starter,Annual,Canada,74.52,3,3,28.2
SUB-5089,2023-08-10,Starter,Monthly,Japan,70.14,1,5,34.9
SUB-5090,2023-08-12,Starter,Monthly,Germany,92.3,3,1,18.3
SUB-5091,2023-08-14,Starter,Annual,Germany,56.9,1,2,50.2
SUB-5092,2023-08-16,Starter,Monthly,Germany,125.15,7,2,6.2
SUB-5093,2023-08-18,Growth,Annual,United Kingdom,226.1,1,6,43.5
SUB-5094,2023-08-19,Starter,Monthly,United States,94.3,5,1,9.2
SUB-5095,2023-08-21,Starter,Annual,Canada,118.02,6,2,62.6
SUB-5096,2023-08-23,Growth,Monthly,United States,238.79,3,1,37.7
SUB-5097,2023-08-25,Starter,Annual,United States,117.02,4,1,12.7
SUB-5098,2023-08-27,Enterprise,Annual,United States,1277.83,30,2,27.4
SUB-5099,2023-08-29,Enterprise,Monthly,Germany,1316.3,33,0,38.3
SUB-5100,2023-08-30,Growth,Annual,France,205.81,1,4,17.8
SUB-5101,2023-09-01,Growth,Monthly,Germany,267.18,5,2,21.6
